location,,,,경도,위도
서울특별시 관악구 봉천동 쑥고개로,,,,126.9432029,37.47976578
서울특별시 관악구 봉천동 관악로11길,,,,126.9476861,37.47832274
서울특별시 관악구 신림동 남부순환로,,,,126.9421483,37.48282342
서울특별시 관악구 봉천동 은천로,,,,126.943341,37.4861575
서울특별시 관악구 봉천동 남부순환로,,,,126.9421483,37.48282342
서울특별시 관악구 신림동 봉천로,,,,126.9347612,37.48586506
서울특별시 관악구 신림동 신원로,,,,126.9295372,37.48167572
서울특별시 관악구 신림동 시흥대로,,,,126.9010271,37.48169081
서울특별시 관악구 신림동 원신길,,,,126.9292687,37.46443948
서울특별시 관악구 신림동 신림로,,,,126.9397646,37.47012859
서울특별시 관악구 봉천동 봉천로,,,,126.9347612,37.48586506
서울특별시 관악구 신림동 호암로,,,,126.9269988,37.4583599
서울특별시 관악구 신림동 난우길,,,,126.9181798,37.47587514
서울특별시 관악구 신림동 조원로,,,,126.9214177,37.48630172
서울특별시 관악구 신림동 복은길,,,,126.9371013,37.47474031
서울특별시 관악구 신림동 신사로,,,,126.9093044,37.48509616
서울특별시 관악구 신림동 법원단지길,,,,126.921522,37.47458034
서울특별시 관악구 남현동 남부순환로,,,,126.9421483,37.48282342
서울특별시 관악구 신림동 조원로18길,,,,126.9121998,37.48388199
서울특별시 관악구 신림동 대학길,,,,126.9373275,37.46811894
서울특별시 관악구 신림동 남부순환로187길,,,,126.9332954,37.48553843
서울특별시 관악구 봉천동 낙성대로3길,,,,126.960332,37.4745696
서울특별시 관악구 봉천동 양녕로,,,,126.9466603,37.48604431
서울특별시 관악구 봉천동 관악로40길,,,,126.9589781,37.49184019
서울특별시 관악구 봉천동 관악로5길,,,,126.9518946,37.47524737
서울특별시 관악구 봉천동 관악로28길,,,,126.9580222,37.48507203
서울특별시 관악구 봉천동 국회단지길,,,,126.9400107,37.48643247
서울특별시 관악구 봉천동 청룡길,,,,126.9458912,37.4793556
서울특별시 관악구 봉천동 성현로,,,,126.9500079,37.49198912
서울특별시 관악구 신림동 문성로,,,,126.9127137,37.47722602
서울특별시 구로구 개봉동 개봉로20길,,,,126.8592522,37.49325335
서울특별시 구로구 구로동 새말로12길,,,,126.8867255,37.50221152
서울특별시 구로구 고척동 중앙로,,,,126.86027,37.50533356
서울특별시 구로구 구로동 도림로,,,,126.8867506,37.48510011
서울특별시 구로구 궁동 오리로,,,,126.8389423,37.48748255
서울특별시 구로구 가리봉동 디지털로,,,,126.8919241,37.48040185
서울특별시 구로구 궁동 부일로,,,,126.8352848,37.49362811
서울특별시 구로구 구로동 경인로,,,,126.8415303,37.49458611
서울특별시 구로구 구로동 구일로4길,,,,126.8760819,37.49195085
서울특별시 구로구 신도림동 경인로67길,,,,126.888162,37.51174511
서울특별시 구로구 구로동 도림천로,,,,126.8930146,37.50316145
서울특별시 구로구 구로동 가마산로,,,,126.8810787,37.48854517
서울특별시 구로구 신도림동 신도림로,,,,126.8856047,37.51120846
서울특별시 구로구 구로동 시흥대로161길,,,,126.8976751,37.47938485
서울특별시 구로구 구로동 새말로20길,,,,126.8930723,37.5046969
서울특별시 구로구 구로동 구로중앙로,,,,126.8871762,37.49658961
서울특별시 구로구 오류동 경인로,,,,126.8415303,37.49458611
서울특별시 구로구 구로동 구로중앙로34길,,,,126.8864579,37.50139018
서울특별시 구로구 고척동 중앙로15길,,,,126.8542042,37.50777231
서울특별시 구로구 개봉동 개봉로19길,,,,126.8542621,37.49385452
서울특별시 구로구 개봉동 개봉로,,,,126.8564283,37.488723
서울특별시 구로구 오류동 서해안로,,,,126.8368014,37.48957067
서울특별시 구로구 오류동 오류로,,,,126.8395854,37.48820391
서울특별시 구로구 구로동 공원로8길,,,,126.8908761,37.50337901
서울특별시 구로구 가리봉동 남부순환로105길,,,,126.8882949,37.48041689
서울특별시 구로구 고척동 경서로,,,,126.8564368,37.49781032
